from_node,to_node,distance_m,road_type,max_speed_kmh,oneway
7223061595,7223061589,48.72,secondary,60,1
7223061589,943831487,53.88,secondary,60,1
943831487,6657547773,65.98,secondary,60,1
6657547773,11900641292,51.31,secondary,60,1
11900641292,267197892,20.95,secondary,60,1
267197892,6657547770,8.02,secondary,60,1
6657547770,6657547771,10.57,secondary,60,1
6657547771,6657547772,7.65,secondary,60,1
6657547772,267197893,6.82,secondary,60,1
6681148297,6681148296,27.61,secondary,60,1
6681148296,6681148298,14.26,secondary,60,1
6681148298,11900641295,13.45,secondary,60,1
11900641295,6681148292,14.99,secondary,60,1
6681148292,6681148291,69.36,secondary,60,1
6681148291,6681148290,62.59,secondary,60,1
6681148290,6681148289,75.33,secondary,60,1
6681148289,6681148287,9.99,secondary,60,1
6681148287,6681148286,34.04,secondary,60,1
6681148286,12753584710,50.65,secondary,60,1
12753584710,6681142083,87.40,secondary,60,1
6681142083,6681142082,25.44,secondary,60,1
6681142082,6681142078,65.37,secondary,60,1
6681142078,6681142081,14.46,secondary,60,1
6681142081,1800585968,15.46,secondary,60,1
1800585968,267197870,13.54,secondary,60,1
267197869,1800585964,11.37,secondary,60,1
1800585964,6681142080,16.44,secondary,60,1
6681142080,6681142079,18.42,secondary,60,1
6681142079,3745697621,91.31,secondary,60,1
3745697621,12753584709,86.86,secondary,60,1
12753584709,9990228459,38.40,secondary,60,1
9990228459,3745729182,46.20,secondary,60,1
3745729182,3745729183,10.51,secondary,60,1
3745729183,6681148288,44.72,secondary,60,1
6681148288,9712983485,16.38,secondary,60,1
9712983485,3745729185,13.93,secondary,60,1
3745729185,11900641300,148.05,secondary,60,1
11900641300,267197901,12.50,secondary,60,1
267197901,6681148294,10.12,secondary,60,1
6681148294,6681148295,9.68,secondary,60,1
6681148295,267197897,20.44,secondary,60,1
267197917,5483954481,6.05,secondary,60,0
5483954481,267197917,6.05,secondary,60,0
5483954481,621248432,6.05,secondary,60,0
621248432,5483954481,6.05,secondary,60,0
621248432,5483954482,6.05,secondary,60,0
5483954482,621248432,6.05,secondary,60,0
5483954482,6776599544,6.05,secondary,60,0
6776599544,5483954482,6.05,secondary,60,0
6776599544,267197916,5.29,secondary,60,0
267197916,6776599544,5.29,secondary,60,0
267197916,6776599531,5.28,secondary,60,0
6776599531,267197916,5.28,secondary,60,0
6776599531,5483954483,5.29,secondary,60,0
5483954483,6776599531,5.29,secondary,60,0
5483954483,6776599534,5.28,secondary,60,0
6776599534,5483954483,5.28,secondary,60,0
6776599534,267197926,5.66,secondary,60,0
267197926,6776599534,5.66,secondary,60,0
267197926,5483954484,5.67,secondary,60,0
5483954484,267197926,5.67,secondary,60,0
5483954484,621248419,5.67,secondary,60,0
621248419,5483954484,5.67,secondary,60,0
621248419,5483954485,5.66,secondary,60,0
5483954485,621248419,5.66,secondary,60,0
5483954485,267197925,5.67,secondary,60,0
267197925,5483954485,5.67,secondary,60,0
6681148314,7612154286,377.46,secondary,60,1
7612154286,9859986618,49.54,secondary,60,1
9859986618,7612154285,47.38,secondary,60,1
7612154285,6681148320,58.94,secondary,60,1
8750357800,6681148367,18.77,secondary,60,1
6681148367,12247930669,231.28,secondary,60,1
12247930669,3644091680,46.42,secondary,60,1
267197931,267197932,11.74,secondary,60,0
267197932,267197931,11.74,secondary,60,0
267197932,267197933,11.74,secondary,60,0
267197933,267197932,11.74,secondary,60,0
267197933,267197934,11.74,secondary,60,0
267197934,267197933,11.74,secondary,60,0
5483954499,5483954495,8.97,secondary,60,1
5483954495,5483954498,3.87,secondary,60,1
5483954498,5483954497,10.36,secondary,60,1
