+id,lat,lon
267259966,28.6195042,77.1975045
267259967,28.6197834,77.1980541
267259968,28.62146,77.1981499
267259969,28.6225017,77.1976001
267259970,28.6218543,77.1962122
267609414,28.6026122,77.1930377
267609415,28.60234,77.1926757
267609416,28.6020019,77.1926655
267609417,28.6017534,77.192904
267609418,28.6017787,77.1934729
267609419,28.6023719,77.1936388
267609420,28.6026012,77.1933367
267609422,28.6033426,77.1928623
267609423,28.6040974,77.192644
267609494,28.604936,77.1985255
267609495,28.6051094,77.198919
267609496,28.6049028,77.1992971
267609497,28.6044917,77.1992765
267609498,28.6043191,77.1989676
267609555,28.6049439,77.1993873
267609568,28.6044,77.1994902
267609569,28.6015298,77.2044737
267609592,28.6106487,77.2052954
267609595,28.6110633,77.205906
267609596,28.6109177,77.2059851
267609597,28.610536,77.2061046
267609602,28.6122346,77.208697
267609667,28.6175452,77.2142075
267609668,28.6173945,77.2139243
267609669,28.6170856,77.2140616
267609670,28.6171082,77.2144564
268212011,28.5755941,77.1603762
268212012,28.5763647,77.1614572
268212014,28.576949,77.1620245
268212015,28.5775616,77.1623997
268212017,28.5782322,77.162522
268212018,28.5793146,77.1626058
268212020,28.5797538,77.1627469
268212021,28.5800398,77.1628786
268212022,28.5804404,77.1631017
268212023,28.5814893,77.1637138
268212024,28.5817079,77.1638093
268212026,28.582181,77.1638506
268212029,28.58261,77.1638462
268212033,28.5828307,77.1639508
268212034,28.5830235,77.1641441
268212035,28.5843463,77.165626
268212037,28.5847634,77.1661035
268212038,28.5854649,77.1663498
268212039,28.5856995,77.1663521
268212041,28.5866039,77.1662888
268212042,28.587017,77.1663339
268212044,28.5875729,77.1665833
268212045,28.5879356,77.1670433
268212048,28.5886423,77.1698646
268212516,28.6018553,77.1685109
268212517,28.6043113,77.1700067
268212518,28.6055924,77.1707381
268212519,28.6062572,77.1710443
268212520,28.6072997,77.1713361
268212521,28.6078324,77.171581
268212522,28.6085335,77.1720981
268212523,28.6092512,77.172759
268212524,28.6100185,77.1734091
268212525,28.6109015,77.1741864
268212526,28.6115465,77.174678
268212527,28.6120732,77.1748756
268212529,28.6137421,77.1748298
268212530,28.6146908,77.1749893
268212532,28.615991,77.1757273
268212533,28.6167622,77.1761576
268212534,28.6173588,77.1763493
268212536,28.6190632,77.176522
268212537,28.6195899,77.1766393
268212538,28.6200551,77.1770061
268212540,28.6217092,77.1784312
268212541,28.6224865,77.1790716
268212543,28.6236985,77.1808473
268212544,28.6247725,77.1794535
268212545,28.6258704,77.1777101
268212547,28.6266786,77.1771165
268212548,28.6271047,77.1766883
268212550,28.6283864,77.1759308
268212552,28.6300147,77.1756929
268212553,28.6306029,77.1756256
268212554,28.6313559,77.1754223
268212555,28.6317279,77.1751764
268212556,28.6318929,77.1750125
268212557,28.6320892,77.174937
268212559,28.6331578,77.1750083
268212561,28.6334342,77.1738019
273317191,28.5978741,77.1835111
273317193,28.5956281,77.1892398
277419824,28.5867395,77.1475907
280740678,28.5787368,77.1761308
280740682,28.5785637,77.176215
280740686,28.5806022,77.1747909
280740694,28.5804897,77.1751091
280740696,28.5803528,77.1748483
280740791,28.6118463,77.1748147
