src,dst
6666318663,11816192467
11816192467,6666318660
6666318660,6666318661
6666318661,6666318662
5809063053,7782913600
7782913600,6666318676
6666318676,6666318675
6666318675,6666318674
6666318674,11816192466
11816192466,6666318673
6666318673,6666318672
6666318672,6666318671
6666318671,6666318670
6666318670,6666318669
6666318669,6666318666
6666318666,6666318668
6666318668,7086574340
7086574340,267197888
621248448,6657547777
6657547777,6657547776
6657547776,6657547775
6657547775,267196324
267196324,3745742010
3745742010,7223061599
7223061599,7223061596
7223061596,7223061595
7223061595,7223061589
7223061589,943831487
943831487,6657547773
6657547773,11900641292
11900641292,267197892
267197892,6657547770
6657547770,6657547771
6657547771,6657547772
6657547772,267197893
6681148297,6681148296
6681148296,6681148298
6681148298,11900641295
11900641295,6681148292
6681148292,6681148291
6681148291,6681148290
6681148290,6681148289
6681148289,6681148287
6681148287,6681148286
6681148286,12753584710
12753584710,6681142083
6681142083,6681142082
6681142082,6681142078
6681142078,6681142081
6681142081,1800585968
1800585968,267197870
267197869,1800585964
1800585964,6681142080
6681142080,6681142079
6681142079,3745697621
3745697621,12753584709
12753584709,9990228459
9990228459,3745729182
3745729182,3745729183
3745729183,6681148288
6681148288,9712983485
9712983485,3745729185
3745729185,11900641300
11900641300,267197901
267197901,6681148294
6681148294,6681148295
6681148295,267197897
267197917,5483954481
5483954481,621248432
621248432,5483954482
5483954482,6776599544
6776599544,267197916
267197916,6776599531
6776599531,5483954483
5483954483,6776599534
6776599534,267197926
267197926,5483954484
5483954484,621248419
621248419,5483954485
5483954485,267197925
6681148314,7612154286
7612154286,9859986618
9859986618,7612154285
7612154285,6681148320
8750357800,6681148367
6681148367,12247930669
12247930669,3644091680
267197931,267197932
267197932,267197933
267197933,267197934
5483954499,5483954495
5483954495,5483954498
5483954498,5483954497
5483954497,267197944
267197937,6657447412
6657447412,267197949
267197949,6657447411
6657447411,267609597
267609597,6657447423
6657447423,6657447408
6657447408,6657447409
6657447409,6657447410
267197934,4264008548
4264008548,6657447431
6657447436,7309155277
7309155277,6657447435
6657447435,6657447427
5799663732,12192097078
12192097078,4083435353
4083435353,6436408280
6436408280,13506319768
13506319768,267250994
267250994,5434483896
249783293,12247930695
12247930695,10248638952
10248638952,10248624601
10248624601,9323170812
9323170812,249782337
249782337,1762945147
1762945147,10248567779
10248567779,1762945117
1762945117,10248567781
10248567781,1763007742
1763007742,1191294765
267249915,267249916
267249916,267249899
267249899,5485189758
5485189758,5485189740
5485189740,5485189721
267249914,5485189723
5485189723,5485189725
5485189725,5802016576
5802016576,5485189724
5485189724,5485189722
5485189722,5485189726
5485189726,6742331767
6742331767,9212682358
9212682358,9186342839
621248447,267249919
267249919,5484083378
5484083378,621248445
621248445,5484083376
5484083376,267249920
267249926,4083435329
4083435329,5484083362
5484083362,4083435331
4083435331,10264334480
10264334480,10264328233
10264328233,10264334479
10264334479,6531473581
6531473581,10264334471
10264334471,10264334466
10264334466,10264334469
10264334469,4083435332
4083435332,10264334427
10264334427,4083435338
4083435338,10264334446
10264334446,10264334421
10264334421,13506319766
13506319766,9794183554
9794183554,4083435341
4083435341,13506319767
13506319767,9212682340
3661513066,12247941854
12247941854,10264255628
10264255628,12247941853
12247941853,10264255641
10264255641,10264255633
10264255633,12146151035
12146151035,12146151042
12146151042,3661513068
3661513068,3661513070
3661513070,3661513072
3661513072,11462925576
11462925576,395135103
249783302,11462925640
11462925640,9884398738
9884398738,9857860395
9857860395,12247941852
12247941852,9179109957
9179109957,2566732703
2566732703,6436650499
6436650499,11002576800
11002576800,11002576795
11002576795,12145761703
12145761703,12145761711
12145761711,11001188164
11001188164,11001188156
11001188156,10264255648
10264255648,267251007
267251007,3661513067
3661513067,11778255749
11778255749,3661513065
3661513065,11301690339
11301690339,11778255747
11778255747,12319493472
12319493472,4881456028
4881456028,267249939
267249939,12247941856
12247941856,3661513063
3661513063,267249912
267249930,3742418076
3742418076,3742418072
